h,top
0.0,0.0
0.0,0.0
0.5497512437810945,0.0
0.6019900497512438,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.8631840796019901,0.0
0.8034825870646767,1.0
0.0,1.0
0.9353233830845771,0.0
0.835820895522388,1.0
0.8084577114427861,1.0
0.8109452736318408,1.0
0.0,0.0
0.9925373134328358,0.0
0.0,1.0
0.5621890547263682,0.0
0.4626865671641791,0.0
0.9154228855721394,0.0
0.8383084577114428,1.0
0.8333333333333334,1.0
0.6716417910447761,0.0
0.0,1.0
0.9751243781094527,1.0
0.5199004975124378,1.0
0.6169154228855722,0.0
0.0,0.0
0.8905472636815921,0.0
0.6567164179104478,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9676616915422885,1.0
0.791044776119403,1.0
0.6766169154228856,1.0
0.6467661691542288,0.0
0.5373134328358209,1.0
0.6094527363184079,0.0
0.0,1.0
0.0,0.0
0.0,1.0
0.0,0.0
0.6044776119402986,0.0
0.7288557213930349,1.0
0.0,1.0
0.4577114427860697,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.8507462686567164,0.0
0.4776119402985075,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.7885572139303483,1.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.8532338308457712,0.0
0.6865671641791045,1.0
0.5348258706467661,1.0
0.6666666666666667,0.0
0.6691542288557214,0.0
0.7412935323383085,1.0
0.845771144278607,0.0
0.8557213930348259,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.6890547263681592,1.0
0.0,0.0
0.6144278606965174,0.0
0.5124378109452736,1.0
0.0,1.0
0.9378109452736318,1.0
0.6243781094527363,0.0
0.6343283582089552,0.0
0.0,1.0
0.8656716417910448,0.0
0.5248756218905473,1.0
0.5099502487562189,1.0
0.0,1.0
0.0,1.0
0.0,0.0
0.6741293532338308,1.0
0.0,0.0
0.664179104477612,0.0
0.0,1.0
0.0,0.0
0.8756218905472637,0.0
0.0,1.0
0.4402985074626866,0.0
0.6791044776119404,1.0
0.8009950248756219,1.0
0.43781094527363185,0.0
0.7985074626865671,1.0
0.0,0.0
0.8681592039800995,0.0
0.0,1.0
0.0,0.0
0.7114427860696517,0.0
0.7935323383084577,1.0
0.9577114427860697,0.0
0.0,1.0
0.0,1.0
0.8432835820895522,0.0
0.9626865671641791,1.0
