Married,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,user,sensitive,h_c,s
1,1,430,100,0,6,0,340,100,1,2,1,8,0,1,0.46615714
0,3,2060,140,0,0,6,2060,90,0,0,0,41,1,1,0.8056171
1,2,5370,250,0,0,4,5370,250,0,0,0,57,0,1,0.83757335
0,3,50,40,1,6,0,50,0,1,11,1,58,1,1,0.48213267
1,1,720,60,0,6,0,700,50,0,0,0,60,0,0,0.8624549
1,1,570,40,0,2,0,570,40,0,0,0,98,0,1,0.80928296
0,3,160,160,4,6,0,20,70,0,0,0,107,1,1,0.8880944
0,2,5450,4090,2,0,4,5230,330,0,0,0,108,1,1,0.862973
0,2,620,40,0,0,0,580,40,0,0,0,114,1,1,0.7309661
0,2,1620,90,0,2,0,1530,60,0,0,0,119,1,1,0.74470043
0,1,1560,120,0,0,6,1400,30,1,13,1,120,1,0,0.42549714
1,2,280,60,0,6,0,220,50,0,0,0,137,0,1,0.7598786
0,3,6020,1690,0,0,2,6020,240,1,3,1,147,1,1,0.84054035
1,2,2650,150,0,0,0,2650,110,1,2,1,150,0,1,0.79578644
0,1,430,50,0,0,0,280,50,0,0,0,154,1,1,0.69414216
1,2,1460,610,3,3,1,1460,60,0,0,0,194,0,1,0.8654994
1,2,650,650,2,6,0,40,40,0,0,0,256,0,1,0.8759203
0,1,300,40,0,0,4,210,30,1,2,1,266,1,1,0.6208458
0,2,0,0,0,6,0,0,0,0,0,0,274,1,0,0.7374694
0,3,510,90,0,0,1,330,90,1,2,1,312,1,1,0.5879945
0,2,1640,80,0,0,0,1460,70,0,0,0,316,1,1,0.7039247
1,2,2390,2390,2,6,0,0,0,1,1,1,333,0,1,0.8498974
0,2,1540,90,0,0,5,1440,90,0,0,0,347,1,0,0.80910695
0,3,1520,270,0,0,0,1050,50,1,6,1,372,1,1,0.75225234
1,3,5460,4910,1,1,4,5290,250,0,0,0,374,0,1,0.8357949
1,1,690,60,0,0,0,580,50,0,0,0,375,0,1,0.5755322
0,2,960,310,1,2,0,690,310,0,0,0,384,1,1,0.88459873
1,3,0,0,0,6,0,0,0,1,1,1,390,0,1,0.58083314
0,3,70,70,2,6,0,40,60,1,2,1,402,1,0,0.7217497
0,2,420,140,0,6,0,420,0,1,3,1,413,1,0,0.6584345
1,1,6110,6110,4,5,0,450,820,0,0,0,414,0,1,0.9032588
0,3,590,60,0,0,0,450,60,1,2,1,417,1,1,0.65755635
0,3,5180,280,0,0,0,5180,250,0,0,0,421,1,1,0.82647884
0,3,1620,80,0,0,0,1470,80,0,0,0,432,1,1,0.6991073
0,3,90,90,3,6,0,0,0,1,1,1,442,1,1,0.72990704
1,0,1180,150,1,6,0,1180,150,0,0,0,448,0,1,0.8792139
1,2,200,200,2,6,0,130,80,0,0,0,474,0,1,0.9012204
0,2,1290,80,0,2,0,1290,80,1,2,1,507,1,1,0.8427334
1,2,3090,220,0,0,6,2830,20,1,11,1,539,0,1,0.5942027
1,3,160,160,2,6,0,160,160,0,0,0,556,0,1,0.87460196
1,2,110,110,2,6,0,20,90,0,0,0,562,0,1,0.75482523
0,2,20,20,1,6,0,0,20,1,1,1,580,1,0,0.7176421
0,1,1900,80,0,0,0,1730,80,0,0,0,594,1,1,0.697431
1,3,4420,160,0,0,0,4420,160,0,0,0,595,0,1,0.8559107
1,2,780,40,0,6,0,710,40,0,0,0,600,0,1,0.667172
0,3,770,80,0,0,0,690,0,1,11,1,605,1,1,0.3833283
1,1,280,280,3,6,0,120,280,0,0,0,608,0,1,0.8835126
1,2,2470,100,0,0,0,2470,100,0,0,0,619,0,1,0.8634775
0,3,10,0,0,6,0,10,0,0,0,0,624,1,1,0.8127157
1,2,670,40,0,0,0,670,40,0,0,0,637,0,1,0.81077695
1,2,4620,210,0,0,0,4530,210,0,0,0,640,0,1,0.80486745
0,2,2000,150,0,0,0,1410,150,0,0,0,642,1,1,0.7647823
0,2,300,80,0,0,4,250,80,0,0,0,654,1,1,0.7829858
0,2,90,50,2,6,0,10,0,1,2,1,659,1,1,0.72672105
0,3,4770,1590,0,0,0,2200,1590,0,0,0,677,1,1,0.8638148
1,3,5420,5430,2,4,0,50,0,0,0,0,685,0,1,0.8390551
0,2,1580,60,0,0,0,1570,60,0,0,0,689,1,1,0.8290113
1,1,450,60,0,0,0,380,0,1,11,1,707,0,1,0.37163773
1,2,2490,150,0,0,0,2490,80,0,0,0,766,0,1,0.8107532
0,2,40,70,2,6,0,40,40,0,0,0,777,1,1,0.77727705
1,3,990,610,3,6,0,80,10,0,0,0,787,0,1,0.8087299
0,3,2330,250,0,3,0,2140,250,1,2,1,810,0,1,0.80144256
1,3,3350,1880,2,6,0,3030,150,0,0,0,811,0,1,0.8312316
1,1,1680,70,0,0,0,1680,0,1,4,1,816,0,0,0.6578354
0,2,270,80,0,0,3,270,40,1,4,1,827,1,1,0.8047021
1,2,2090,90,0,6,0,2070,90,0,0,0,841,0,1,0.83454144
0,2,1350,610,0,0,2,610,60,1,10,1,850,1,1,0.82563967
1,1,90,20,2,6,0,90,0,0,0,0,874,0,1,0.69294983
0,3,6940,270,0,0,3,6840,270,0,0,0,882,1,1,0.8158258
1,3,120,90,1,6,0,120,0,0,0,0,901,0,1,0.69983107
1,1,2360,150,0,0,0,2080,90,0,0,0,912,0,1,0.6779117
1,3,1680,60,0,6,0,1680,60,0,0,0,916,0,1,0.86973286
1,2,6690,310,0,0,2,6690,250,0,0,0,946,0,1,0.85862446
0,2,5810,3050,0,0,0,5810,1220,0,0,0,948,1,1,0.9214163
1,1,60,710,3,6,0,60,0,1,2,1,949,0,1,0.7613778
0,2,3350,3020,1,4,0,670,40,0,0,0,956,1,1,0.8782633
1,3,9000,610,0,0,0,9000,610,0,0,0,965,0,1,0.8298996
1,3,130,130,2,6,0,30,130,0,0,0,967,0,1,0.86832273
1,2,3090,3050,1,1,4,2880,100,0,0,0,1000,0,1,0.8358934
1,1,4230,150,0,1,0,4230,150,0,0,0,1022,0,1,0.85705215
0,2,10,10,1,6,0,10,0,1,12,1,1050,1,1,0.1842552
1,1,950,80,0,0,6,890,50,1,2,1,1064,0,0,0.6315885
1,0,4640,5250,3,4,0,1450,2300,0,0,0,1073,0,1,0.9104507
1,2,3510,290,0,0,6,3320,290,1,2,1,1085,0,1,0.8262659
1,2,730,240,0,6,0,560,90,1,6,1,1102,0,1,0.782745
1,2,640,100,0,0,6,570,0,1,10,1,1104,0,0,0.36593276
1,3,1660,1500,1,6,0,200,1500,0,0,0,1105,0,1,0.9276144
1,2,2440,120,0,0,3,2350,120,0,0,0,1108,0,0,0.8069574
0,2,2710,140,0,0,1,2560,120,1,7,1,1110,1,1,0.7639038
0,3,570,50,0,2,2,570,0,1,3,1,1117,1,1,0.43039864
1,1,0,0,0,6,0,0,0,1,1,1,1118,0,0,0.50719374
0,3,930,930,2,5,0,120,80,0,0,0,1156,1,1,0.8650678
1,2,130,130,1,6,0,120,0,0,0,0,1158,0,1,0.782842
0,2,4290,2730,1,1,2,4200,180,1,2,1,1165,1,1,0.83529615
0,3,200,200,3,6,0,110,200,0,0,0,1168,1,1,0.8863471
1,2,2810,880,1,2,0,2500,620,0,0,0,1174,0,0,0.90804267
0,3,6000,370,0,0,6,5930,370,0,0,0,1183,1,1,0.835248
0,1,1530,60,0,0,1,1530,40,0,0,0,1229,1,1,0.8061201
0,2,970,120,0,0,0,740,50,1,7,1,1267,1,1,0.58489585
0,2,600,60,0,6,0,500,30,2,4,1,1268,1,0,0.5156694
1,1,1550,80,0,0,6,1500,80,0,0,0,1270,0,1,0.8138804
0,2,310,60,0,0,5,290,0,1,3,1,1271,0,1,0.432927
1,2,1980,1100,1,3,0,1980,90,0,0,0,1286,0,1,0.85032886
1,1,540,80,0,1,3,450,80,1,12,1,1288,0,0,0.5303088
0,3,3470,460,0,0,0,3470,150,0,0,0,1295,1,1,0.7988449
0,2,310,40,0,0,0,220,40,0,0,0,1304,1,1,0.63370585
0,3,2530,190,0,0,0,2380,0,1,3,1,1345,1,1,0.58698505
1,2,200,200,2,6,0,10,10,0,0,0,1377,0,1,0.8296479
1,2,2560,310,0,0,0,2410,120,0,0,0,1407,0,1,0.78645
0,3,1850,120,0,0,3,1750,90,0,0,0,1415,1,1,0.751888
0,2,6310,280,0,0,6,5730,260,0,0,0,1437,1,1,0.7660056
0,2,1010,50,0,0,6,1010,50,0,0,0,1454,1,1,0.8220379
0,1,3370,160,0,0,6,3080,160,0,0,0,1474,1,0,0.73900855
0,2,840,40,0,4,0,840,40,0,0,0,1477,1,1,0.83839154
0,2,640,310,1,6,0,380,230,0,0,0,1493,1,1,0.9027965
1,1,1540,520,1,1,3,1540,60,0,0,0,1503,0,1,0.86271363
1,2,2240,2240,1,3,0,800,0,1,1,1,1507,0,1,0.88249135
0,3,520,80,0,6,0,520,80,0,0,0,1530,1,1,0.8034612
1,2,3410,370,0,0,0,2850,130,0,0,0,1550,0,0,0.7415314
0,3,400,400,1,6,0,0,400,1,2,1,1561,1,1,0.8603098
1,1,780,270,0,0,5,490,270,1,4,1,1563,0,1,0.8166731
0,3,1550,310,0,0,2,1550,90,0,0,0,1573,1,0,0.82522506
1,2,220,220,2,6,0,130,220,0,0,0,1579,0,1,0.87579113
1,1,340,60,0,5,0,120,60,0,0,0,1590,0,1,0.78104687
0,2,1940,1860,2,2,0,1940,30,0,0,0,1619,1,0,0.7918786
0,3,3320,230,0,0,0,3320,230,1,2,1,1656,1,0,0.8383155
0,3,1410,60,0,0,6,1410,60,0,0,0,1657,1,1,0.82176596
0,3,2850,150,0,0,6,1560,60,0,0,0,1682,1,1,0.7268711
0,2,5280,190,0,0,1,5280,190,0,0,0,1693,1,1,0.8440813
0,3,780,780,1,5,0,200,50,1,2,1,1743,1,1,0.8875699
0,3,1530,70,0,1,3,1510,70,0,0,0,1745,1,1,0.8188643
1,2,1610,1610,2,3,1,150,930,0,0,0,1752,0,1,0.9271608
0,3,330,340,3,6,0,150,110,0,0,0,1768,1,1,0.92261547
0,2,900,60,0,3,0,840,60,0,0,0,1778,1,1,0.7754778
1,3,20,20,1,6,0,20,20,0,0,0,1780,0,1,0.82652
1,2,820,100,0,0,0,660,100,1,8,1,1786,0,0,0.6304322
0,3,3360,140,0,0,0,3210,130,0,0,0,1797,1,1,0.8093263
0,3,140,140,2,5,0,10,10,0,0,0,1803,1,1,0.838906
0,3,320,190,3,6,0,320,110,0,0,0,1804,1,0,0.88492215
1,2,3100,310,0,0,6,3090,110,0,0,0,1806,0,1,0.77331924
1,3,150,150,3,6,0,0,20,1,1,1,1816,0,1,0.8340129
1,2,2500,2500,1,5,0,590,2500,0,0,0,1828,0,1,0.89264715
0,3,600,70,0,0,3,600,40,0,0,0,1836,1,1,0.8182204
0,2,990,1030,1,0,0,670,60,1,2,1,1865,1,1,0.8229791
0,3,30,60,2,6,0,20,20,0,0,0,1884,1,0,0.76159644
0,3,6030,610,0,0,3,4920,240,0,0,0,1886,1,1,0.7415941
0,2,3210,610,0,0,5,2220,610,1,32,1,1894,1,0,0.7982055
0,3,810,50,0,0,0,810,50,0,0,0,1909,1,1,0.85961604
0,3,660,150,0,6,0,310,90,0,0,0,1927,1,1,0.76347625
0,3,6200,1160,0,0,2,6200,10,2,6,1,1944,1,0,0.7979985
0,3,20,0,0,6,0,20,0,0,0,0,1945,1,0,0.8777789
0,3,60,60,3,6,0,30,0,0,0,0,1969,1,1,0.7761822
0,2,1010,80,0,0,0,850,50,1,2,1,2003,1,0,0.6591689
0,2,3170,160,0,0,0,3010,120,0,0,0,2004,1,1,0.7800247
1,2,0,0,6,6,0,0,0,1,1,1,2008,0,0,0.6506173
0,1,1670,120,0,0,6,1670,50,1,12,1,2051,1,1,0.77021873
1,3,2630,110,0,0,6,2400,110,1,12,1,2089,0,0,0.7502822
1,3,70,130,3,6,0,20,70,2,4,1,2090,0,1,0.6867982
0,3,540,60,0,0,4,470,40,1,10,1,2105,1,0,0.45188987
1,1,610,130,0,0,6,570,40,1,2,1,2143,0,0,0.7860298
1,0,5220,430,2,3,3,5220,430,0,0,0,2145,0,1,0.85912156
0,3,9340,710,0,0,5,9340,460,0,0,0,2156,1,0,0.81924593
0,2,14840,610,0,0,1,14840,610,0,0,0,2174,1,1,0.8323077
0,1,290,40,0,0,2,290,40,0,0,0,2196,1,1,0.7765712
1,2,600,310,1,2,1,320,310,0,0,0,2227,0,1,0.8757024
0,1,300,40,0,1,5,270,40,0,0,0,2253,1,1,0.6939812
1,2,530,110,0,0,0,420,90,1,10,1,2268,0,0,0.56170547
1,2,1800,1890,5,5,0,0,0,1,1,1,2273,0,1,0.84624195
1,1,1410,1410,1,3,1,1030,120,0,0,0,2284,0,0,0.89091426
1,1,2330,170,0,0,6,2080,150,1,15,1,2292,0,0,0.67501545
1,3,1300,1300,3,6,0,0,90,2,5,1,2293,0,1,0.8554002
1,3,60,60,3,6,0,0,0,1,1,1,2316,0,1,0.7263707
0,3,6100,210,0,0,2,6100,210,0,0,0,2330,1,1,0.8401671
1,2,12170,850,0,0,3,11380,850,0,0,0,2344,0,1,0.8226448
0,2,500,150,0,6,0,500,150,0,0,0,2347,1,0,0.8883922
0,2,740,0,0,0,6,740,0,1,33,1,2362,1,1,0.27534565
0,3,550,100,4,6,0,550,100,0,0,0,2363,1,0,0.85535467
1,3,7880,1440,0,5,0,7880,1440,0,0,0,2366,0,1,0.86916715
0,3,380,380,2,6,0,290,380,0,0,0,2367,1,1,0.9057861
1,1,1370,110,0,0,5,1210,50,1,13,1,2392,0,0,0.57330334
0,3,150,150,2,6,0,60,90,0,0,0,2411,1,1,0.87331635
1,3,3320,1980,0,1,0,3320,130,0,0,0,2419,0,1,0.8297974
0,2,150,530,2,6,0,40,90,1,2,1,2429,1,0,0.88091606
1,2,1530,70,0,0,3,1460,60,1,2,1,2444,0,1,0.7879208
0,2,1450,1280,1,2,4,150,0,1,12,1,2447,1,0,0.7952627
1,1,510,510,4,6,0,0,40,0,0,0,2464,0,0,0.8824564
1,3,1710,150,0,0,0,1440,90,2,8,1,2541,0,0,0.68235415
0,3,620,540,2,6,0,170,310,1,2,1,2565,1,1,0.906259
0,1,190,50,0,2,0,140,40,1,2,1,2602,1,0,0.66491884
0,2,240,150,1,6,0,240,70,1,2,1,2606,1,1,0.8914305
1,3,410,580,1,6,0,410,120,0,0,0,2615,0,1,0.9555688
1,2,920,50,0,0,0,910,50,1,2,1,2617,0,0,0.8399023
1,1,330,40,0,1,0,300,40,0,0,0,2625,0,1,0.7238321
1,1,2110,80,0,0,2,2110,80,0,0,0,2631,0,1,0.8502749
0,3,8100,240,0,0,1,8100,230,0,0,0,2632,1,0,0.833249
0,2,1510,90,0,2,3,1390,90,0,0,0,2679,1,1,0.7777754
0,3,0,10,1,6,0,0,0,0,0,0,2689,1,1,0.7181894
1,3,250,300,3,6,0,120,100,0,0,0,2692,0,1,0.9098452
1,2,910,190,0,0,6,740,190,1,6,1,2706,0,0,0.6985602
