h,gender
0.8057416267942583,0
0.0,1
0.0,0
0.0,1
0.9674641148325359,0
0.0,0
0.0,0
0.0,0
0.9933014354066986,0
0.0,0
0.0,0
0.0,1
0.7751196172248804,1
0.8535885167464115,0
0.0,1
0.0,1
0.0,0
0.8669856459330143,0
0.8478468899521531,0
0.9090909090909091,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.8344497607655502,0
0.0,0
0.9483253588516747,0
0.9138755980861244,0
0.0,0
0.0,1
0.7808612440191387,0
0.877511961722488,0
0.9148325358851674,0
0.0,1
0.7253588516746412,1
0.9732057416267943,0
0.8,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.6966507177033493,1
0.7272727272727273,1
0.9559808612440192,0
0.0,0
0.9875598086124402,0
0.9330143540669856,0
0.0,0
0.0,1
0.0,1
0.0,0
0.8267942583732057,0
0.0,0
0.0,0
0.0,1
0.0,0
0.9722488038277513,0
0.876555023923445,0
0.9014354066985646,0
0.0,0
0.0,1
0.0,0
0.0,1
0.9253588516746412,0
0.0,0
0.8909090909090909,0
0.0,0
0.0,1
0.0,0
0.0,1
0.8172248803827751,0
0.7913875598086124,0
0.0,0
0.0,0
0.9234449760765551,0
0.0,0
0.7866028708133971,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.785645933014354,0
0.0,1
0.0,0
0.0,0
0.8038277511961722,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.8373205741626795,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.8258373205741627,0
0.0,0
0.0,0
0.8717703349282296,0
0.0,1
0.0,1
0.7942583732057416,0
0.0,0
0.8583732057416268,0
0.0,0
0.0,1
0.0,1
0.8440191387559809,0
0.0,0
0.0,0
0.0,1
0.0,0
0.9578947368421052,0
0.0,0
0.0,0
0.9349282296650718,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.9167464114832535,0
0.0,1
0.0,1
0.8918660287081339,0
0.8822966507177034,0
0.0,0
0.0,0
0.0,0
0.0,0
0.8248803827751197,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.7397129186602871,1
0.6842105263157895,0
0.0,0
0.0,1
0.8124401913875599,0
0.0,1
0.0,0
0.7052631578947368,1
0.0,0
0.0,1
0.6851674641148325,0
0.0,0
0.0,0
0.0,0
0.9492822966507177,0
0.0,0
0.9043062200956937,0
0.0,1
0.0,0
0.0,0
0.0,1
0.8028708133971292,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.9971291866028709,0
0.8421052631578947,0
0.0,0
0.0,0
0.7980861244019138,0
0.0,0
0.0,0
0.0,1
0.8430622009569377,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9425837320574163,0
0.8488038277511962,0
0.8086124401913876,0
0.9311004784688995,0
0.84688995215311,0
0.0,0
0.0,0
0.0,1
0.0,0
0.7732057416267942,1
0.0,0
0.0,0
0.8287081339712918,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.8574162679425837,0
0.0,0
0.0,1
0.0,0
0.0,0
0.7665071770334928,1
0.0,1
0.0,1
0.8334928229665072,0
0.9741626794258373,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.7425837320574162,1
0.7062200956937799,1
0.691866028708134,0
0.9023923444976076,0
0.7779904306220096,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.8784688995215311,0
0.0,0
0.0,0
0.0,1
0.9129186602870814,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.8985645933014355,0
0.7722488038277512,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.9837320574162679,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.8296650717703349,0
0.0,0
0.0,1
0.0,1
0.861244019138756,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.7177033492822966,1
0.9904306220095693,0
0.0,1
0.8133971291866029,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,1
0.969377990430622,0
0.9358851674641149,0
0.9779904306220095,0
0.723444976076555,1
0.0,0
0.0,0
0.0,0
0.0,1
0.8688995215311005,0
0.9282296650717703,0
0.0,1
0.7511961722488039,1
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.8794258373205741,0
0.0,0
0.754066985645933,1
0.8315789473684211,0
0.0,0
0.9665071770334929,0
1.0,0
0.0,0
0.938755980861244,0
0.0,0
0.8105263157894737,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.7129186602870814,1
0.0,0
0.7311004784688995,1
0.0,0
0.908133971291866,0
0.0,0
0.7760765550239235,1
0.0,0
0.6870813397129186,0
0.0,1
0.0,0
0.0,0
0.9119617224880383,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9224880382775119,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.8870813397129187,0
0.0,0
0.0,0
0.9923444976076555,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.737799043062201,1
0.0,0
0.7770334928229665,1
0.7933014354066985,0
0.8143540669856459,0
0.0,0
0.0,0
0.0,0
0.0,0
0.907177033492823,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,1
0.8602870813397129,0
0.0,0
0.0,1
0.708133971291866,1
0.0,0
0.9473684210526315,0
0.0,0
0.0,0
0.9263157894736842,0
0.7473684210526316,1
0.8564593301435407,0
0.9952153110047847,0
0.815311004784689,0
0.0,0
0.8650717703349282,0
0.8947368421052632,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.9760765550239234,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.8641148325358852,0
0.8545454545454545,0
0.7023923444976077,1
0.0,0
0.0,0
0.939712918660287,0
0.7291866028708134,1
0.9588516746411483,0
0.0,1
0.8095693779904306,0
0.0,0
0.0,1
0.9636363636363636,0
0.0,1
0.0,1
0.0,0
0.7186602870813397,1
0.0,1
0.0,1
0.9301435406698565,0
0.0,0
0.0,0
0.0,1
0.0,1
0.9291866028708133,0
0.0,0
0.0,1
0.9913875598086125,0
0.0,0
0.0,0
0.7712918660287081,1
0.9339712918660287,0
0.8191387559808613,0
0.7827751196172249,0
0.0,0
0.0,0
0.0,0
0.8200956937799043,0
0.0,0
0.0,0
0.0,0
0.9894736842105263,0
0.0,0
0.0,0
0.9502392344497608,0
0.9406698564593301,0
0.7043062200956938,1
0.0,0
